Time,Status 1,Status 2,"Left Arm, Right Arm","Left Leg, Left Arm","Left Leg, Right Arm"
0,128,128,-7.058327443,3.079305062,-3.979022381
8,128,128,-7.073977837,3.098128807,-3.97584903
16,128,128,-7.084940324,3.094811212,-3.990129112
24,128,128,-7.05904866,3.094378483,-3.964670177
32,128,128,-7.064313539,3.063582547,-4.000730991
40,128,128,-7.074771175,3.08096386,-3.993807315
48,128,128,-7.053783781,3.039493923,-4.014289858
56,128,128,-7.064097174,3.078151116,-3.985946058
64,128,128,-7.0608517,3.08673359,-3.97411811
72,128,128,-7.039647942,3.104619754,-3.935028188
80,128,128,-7.037556414,3.117601647,-3.919954767
88,128,128,-7.024790886,3.088825117,-3.935965769
96,128,128,-7.034527306,3.164192219,-3.870335087
104,128,128,-6.991831302,3.141906636,-3.849924666
112,128,128,-7.028324846,3.162749787,-3.865575059
120,128,128,-7.003587127,3.108225835,-3.895361292
128,128,128,-7.024286035,3.081035981,-3.943250053
136,128,128,-7.025439981,3.040070896,-3.985369085
144,128,128,-7.070371755,3.076925048,-3.993446707
152,128,128,-7.042965536,3.021247151,-4.021718385
160,128,128,-7.076934824,3.056442506,-4.020492318
168,128,128,-7.071597823,3.02059806,-4.050999767
176,128,128,-7.079026351,3.041224842,-4.037801509
184,128,128,-7.057173497,3.008121015,-4.049052483
192,128,128,-7.075997242,3.038195734,-4.037801509
,,,,,